fecha,et0_mm,riego_agronomico_mm,riego_ml_mm,litros_agronomico,litros_ml
2024-05-01,4.02,3.13,3.13,10943.33,10955.03
2024-05-02,4.39,3.41,3.41,11950.56,11935.02
2024-05-03,5.04,3.92,3.92,13720.0,13720.03
2024-05-04,5.84,4.54,4.54,15897.78,15890.04
2024-05-05,5.13,3.99,3.99,13965.0,13965.02
2024-05-06,5.24,4.08,4.08,14264.44,14279.99
2024-05-07,6.03,4.69,4.69,16415.0,16415.01
